Die Digitalisierung der Stadt Wien [premium];https://www.diepresse.com/5715887/Wien_Die-Digitalisierung-der-Stadt-Wien?from=rss;Wien muss Europas führende Digitalisierungshauptstadt werden, hat Bürgermeister Michael Ludwig bestimmt. Doch was bedeutet das für die Menschen im Alltag? Und warum will Wien kein Silicon Valley werden? Eine Spurensuche.;2019-11-06T12:52:00;TECH
Milliardenüberschuss für den Bund [premium];https://www.diepresse.com/5718538/Budget_Milliardenueberschuss-fuer-den-Bund?from=rss;Wegen einer hohen Einmalzahlung und gestiegener Steuereinnahmen dürfte dem Bund am Ende des Jahres ein Überschuss von 1,5 Milliarden Euro bleiben  deutlich mehr als veranschlagt.;2019-11-07T17:58:00;ECONOMY
Microsoft und Warner speichern Superman auf Glasscheibe;https://www.diepresse.com/5716720/Innovation_Microsoft-und-Warner-speichern-Superman-auf-Glasscheibe?from=rss;Die Lagerung des gesamten Superman-Films auf einem  Glasstück in der Größe einer Untertasse sei ein Meilenstein, heißt es bei Microsoft.;2019-11-04T16:42:00;TECH
Teilrückzug von Frontlinie in der Ostukraine beginnt;https://www.diepresse.com/5719411/Teilrueckzug-von-Frontlinie-in-der-Ostukraine-beginnt?from=rss;Sowohl die ukrainische Armee als auch pro-russische Rebellen ziehen Truppen und Waffen aus Petriwske, dem letztem von drei geplanten Gebieten, ab. Es ist die Bedingung für ein erstes Treffen zwischen Wladimir Putin und dem ukrainischen Staatschef Wolodymyr Selenskyj.;2019-11-09T11:16:00;POLITICS
Buschfeuer bringen höchste Warnstufe für Sydney;https://www.diepresse.com/5719716/Rekordduerre_Buschfeuer-bringen-hoechste-Warnstufe-fuer-Sydney?from=rss;Die verheerenden Buschbrände in Australien, die bisher drei Todesopfer gefordert haben, werden immer mehr zur Bedrohung für die Millionenmetropole Sydney.;2019-11-10T08:42:00;POLITICS

Golf: Traumstart für Schwab beim Tour-Finale;https://www.diepresse.com/5718575/Golf_Traumstart-fuer-Schwab-beim-TourFinale?from=rss;Matthias Schwab liegt nach dem ersten Tag in der Türkei ex aequo mit dem Engländer Tom Lewis in Führung. Bernd Wiesberger ist 37.;2019-11-07T17:56:00;SPORTS
Was für eine sinnlose Kategorie!;https://www.diepresse.com/321654/So-eine-sinnlose-Kategorie?from=rss;So was Sinnloses aber auch.;2019-10-13T09:15:00;SINNLOSES
Fortnite-Profispieler wird lebenslang gesperrt;https://www.diepresse.com/5717240/FortniteProfispieler-wird-lebenslang-gesperrt?from=rss;Der 17-jährige Jarvis Kaye nutzte über einen Zweitaccount unerlaubte Aimbots, also Zielhilfen zum Schießen. Der Spielehersteller Epic Games reagierte prompt.;2019-11-05T15:08:00;TECH
Pick-up: Mit der Pritsche ins Gelände;https://www.diepresse.com/5691341/Rexton-Sport-XL_Pickup_Mit-der-Pritsche-ins-Gelaende?from=rss;Offroad-Talente stellt der Rexton Sport von SsangYong unter Beweis  kein Wunder, dafür wurde er auch konstruiert.;2019-09-17T17:49:00;LIFESTYLE
Fußball: Diese Zeile hat zu wenige Werte.;https://www.diepresse.com/987654/Faellt-das-jemandem-auf-Fragezeichen;2019-11-07T17:20:00;SPORTS
Fahrstil: Im Gleichgewicht bleiben;https://www.diepresse.com/5535007/MotorMagazin_Fahrstil_Im-Gleichgewicht-bleiben?from=rss;Gleich mehrere Schwergewichte haben wir in dieser Ausgabe für Sie versammelt, Menschen wie Maschinen: Stirling Moss, Ferrari F8 Tributo, Bentley Continental GT ... Lesen sie sich rein!;2019-09-27T14:43:00;LIFESTYLE
